superAdjFV_rnk,adjFV_rnk,avgFV_rnk,ofpFV_rnk,superAdj_FV,adj_FV,avg_FV,ofp_FV,PV,FV,*BIO*,fnames,lnames,year,age,position,bats,throws,height,weight,p_type,FV_pts,FV_weight,*IDs*,prospect_id,mlb_id,mlb_draft_id,fg_major_id,fg_minor_id,*FG*,FGOvrRnk,FG_DraftRank,FG_OrgRank,FG_DraftPick,FGSchool,FG_Level,FG_Signed,FG_Team,FG_Athleticism,FG_Performer,FG_Risk,FG_Variance,FG_ETA,FG_FV,FG_Video,FG_ShortBlurb,FG_Blurb,*mlb*,MLB_School,MLB_Team,MLB_Drafted,MLB_Signed,MLB_ETA,MLB_FV,MLB_Blurb,*mi*,mi_team,mi_teamRank,mi_grade,mi_eta,mi_FV,*MLB_PRO*,MLB_OrgRank,MLB_OvrRank,*MLB_DRAFT*,MLB_Grade,MLB_Commit,*OFP*,FG_Hitters_pOFP,FG_Hitters_fOFP,MLB_Hitters_OFP,FG_Pitchers_pOFP,FG_Pitchers_fOFP,MLB_Pitchers_OFP,*BONUS_OFP*,MaxVelo_Bonus,FastballRPM_Bonus,BreakingRPM_Bonus,Athleticism_Bonus,Performance_Bonus,Trend_Bonus,*FG_HIT*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*FG_PITCH*,TJ_Date,Fastball_RPM,Breaking_RPM,Command_present,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Command_future,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,*MLB_HIT*,hit,power,run,arm,field,*MLB_PITCH*,fastball,change,curve,slider,cutter,splitter,other,control,NSBL_Team,NSBL_Salary,NSBL_Year
162,218,253,378,"""48.0""","""46.2""","""45.0""","""50.9""","""42.2""","""51.7""","""|""","""Francisco""","""Morales""",2020,"""20.6""","""RHP""","""R""","""R""","""76""","""185""","""professional""",180,4,"""|""",1584,672839,,,"""sa3004581""","""|""",,,5,,"""Venezuela""","""A+""",,"""PHI""",1,,,,2022,45,,,"""Morales remains on the starter/reliever fringe, and I think the latter is more likely. He has a traditional power pitcher's fastball/slider combination, while the upper-80s changeup remains firm and unrefined, as does his control. Morales is a good athlete -- he's sinewy and strong -- while his delivery is violent and difficult to repeat. One of those will usurp the other and dictate what happens to Morales' role. I think he'll be a ninth inning bully.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""42.2""","""51.7""",,"""|""",1.0000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2500,2400,30,55,35,,55,,,45,60,45,,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""KC""",0.500,"""XXX"""
163,173,132,624,"""48.0""","""47.1""","""47.0""","""48.8""","""40.5""","""49.5""","""|""","""Anderson""","""Tejeda""",2020,"""22.1""","""SS""","""S""","""R""","""71""","""160""","""professional""",188,4,"""|""",1600,660731,,,"""sa872474""","""|""",,,5,,"""Dominican Republic""",,,"""TEX""",1,,,,2021,47,"""TdHxjNuX4iQ""",,"""There are no changes to Tejeda's report as he missed most of last year with a sublexed shoulder. He is rangy and athletic, and has good defensive footwork and plenty of arm for the infield's left side. His hands are not as consistent and some scouts have wanted to see him tried in center field, which he has the speed to play, though Texas has largely kept him at short and he's now one of two and a half shortstops (I'm counting Isiah Kiner-Falefa as a half) on the Rangers 40-man.  Tejeda has plus-plus bat speed and his hands work in a tight, lift-friendly circle, but he's so explosive that at times he's out of control (this is where the strikeouts come from). He managed to get to the power at Hi-A in 2018, when he homered 19 times, and if he can stay at shortstop and continue to mash like that in games, he'll be a good everyday player. He's in the same FV tier as high-variance shortstops with power, such as Greg Jones and Bryson Stott.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""40.5""","""49.5""",,,,,"""|""",,,,1.0,,0.0,"""|""",30,35,55,55,45,60,40,55,60,55,50,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""MIN""",0.500,"""XXX"""
164,155,254,71,"""48.0""","""47.5""","""45.0""","""55.0""","""49.1""","""55.5""","""|""","""Franklin""","""Perez""",2020,"""22.5""","""RHP""","""R""","""R""","""75""","""197""","""professional""",180,4,"""|""",706,658530,,,"""sa873722""","""|""",,,10,,"""Venezuela""",,,"""DET""",,,,,2020,45,,,"""Perez's first few pro seasons were notable because of how quickly Houston pushed him through the minors. A polished strike-thrower with four good pitches, he reached Double-A as a 19-year-old back in 2017 before he became the centerpiece of the Justin Verlander deal. Advanced though he was, various injuries have robbed Perez of innings. In 2016, he had knee trouble; in 2018, it was a lat strain, then shoulder inflammation. An ominous trap issue popped up during the early parts of 2019 spring training but Perez was back on the mound quickly and sitting his usual 93-96 into late-March, before he had three IL stints -- in April, May, and June -- and was shut down for the year.   He has yet to throw more than 86 frames in an entire season, so while he may be fairly advanced for someone his age, and definitely for someone who has pitched so little, the industry has yet to see his stuff hold up for a whole summer of starter's innings. He has mid-rotation stuff, but has one of the longest injury histories in the minors, and he's barely 22.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""49.1""","""55.5""",,"""|""",0.7500,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2050,2550,40,60,55,45,50,,,50,60,60,50,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""CHC""",0.500,"""XXX"""
165,148,255,42,"""48.0""","""47.8""","""45.0""","""55.6""","""51.8""","""55.9""","""|""","""Jon""","""Duplantier""",2020,"""25.9""","""RHP""","""R""","""R""","""76""","""225""","""professional""",180,4,"""|""",1612,641541,"""duplantier_jon""",19546,"""sa874168""","""|""",,,10,,"""Rice""",,,"""ARI""",,,,,2020,45,"""mlEmgiI4CV0""",,"""Duplantier had been injury-free since college (where he dealt with shoulder problems) until 2018, when he had hamstring issues in the spring, and biceps tendinitis later in the summer. The lost innings resulted in an Arizona Fall League stint, during which Duplantier was one of the better pitching prospects in the league. Despite the biceps issue, his velocity was fine in the fall, when he sat 93-96 and showed three good, clearly demarcated secondary pitches. Then 2019 came. Dup's stuff was not as crisp during the spring, and he was shuttled back and forth between Triple-A and the big leagues several times; he had a shoulder issue in the middle of the summer and his stuff was down again later in the year. There's a chance his stuff bounces back and he pitches like the 50 FV we thought he'd be last year, and there's a chance those two-ish healthy years sandwiched by all the injuries are, in fact, the outliers.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""51.8""","""55.9""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2250,2600,50,60,45,50,55,,,55,60,55,50,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""COL""",0.500,"""XXX"""
166,217,250,256,"""47.9""","""46.2""","""45.0""","""52.1""","""35.5""","""53.6""","""|""","""Nasim""","""Nunez""",2020,"""19.8""","""SS""","""S""","""R""","""69""","""165""","""professional""",180,4,"""|""",2824,683083,"""nunez_nasim""",,"""sa3010695""","""|""",,,15,,"""Collins Hill HS (GA)""","""A-""",,"""MIA""",2,,,,2023,45,,,"""Nunez's pre-game infield is appointment viewing and he had the most athletic footwork and actions in the 2019 draft. It takes a lot of visible effort for him to make throws from the hole, and because of this, there are some clubs who had him evaluated as an elite second baseman before the draft, but we think it'll work at short.   There's a big gap between Nunez's present physicality and how strong he'll need to be to make hard big league contact (his left-handed swing is behind the right), but his move forward is athletic, he rotates, there's barrel accuracy from the right side already, and enough footspeed to make balls in play a bit of a problem. We don't anticipate Nunez will become an impact bat, but he projects as a low-end regular because of the glove.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""35.5""","""53.6""",,,,,"""|""",,,,2.0,,0.0,"""|""",25,20,40,60,55,60,55,40,45,60,70,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
167,171,251,184,"""47.9""","""47.1""","""45.0""","""52.9""","""49.5""","""53.2""","""|""","""Austin""","""Hays""",2020,"""24.9""","""CF""","""R""","""R""","""72""","""205""","""professional""",180,4,"""|""",1771,669720,"""hays_austin""",19363,"""sa874219""","""|""",,,7,,"""Jacksonville""","""MLB""",,"""BAL""",1,,,,2020,45,"""Atv7VME2ktM""",,"""Every now and then, toolsy college prospects turn into George Springer. Their swing and approach are refined with pro instruction, and previously dormant production suddenly shows up in games. It seemed like Hays was quickly becoming this sort of player during his 2017 breakout, a power/speed monster who had one of the best statistical line in the minors that year. But an aggressive, pull-heavy approach and ankle injury derailed Hays' 2018, which was so putrid that he never got a big league look even though he'd already debuted the previous September.    His 2019 season was much better, though it too was interrupted by injury, this time a hamstring strain. Hays' swing makes him a 40 runner from home to first, but underway he's a plus runner capable of handling center field. His leaping ability should also make him a threat to rob the occasional homer. Most importantly, Hays' ability to play center field (which I've not always been optimistic about but have come around on) gives the approach issues some room to breathe on the offensive end. I still don't consider him a lock to generate everyday value because of the plate discipline, but he's talented enough to be a high-variance player who has some big years.  ""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""49.5""","""53.2""",,,,,"""|""",,,,1.0,,0.0,"""|""",45,45,60,55,50,60,50,50,60,55,55,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""KC""",0.650,"""2nd"""
168,172,252,148,"""47.9""","""47.1""","""45.0""","""53.4""","""48.3""","""53.9""","""|""","""Joey""","""Wentz""",2020,"""22.7""","""LHP""","""L""","""L""","""77""","""209""","""professional""",180,4,"""|""",1710,666214,"""wentz_joey""",,"""sa917946""","""|""",,,7,,"""Shawnee Mission East HS (MO)""","""AA""",,"""DET""",1,,,,2020,45,"""qGBi5_ZAt5c""",,"""Wentz has given scouts a number of different looks over the years: he hit the showcase circuit as a position player while resting his arm, showing 70-grade raw power, then showed 92-95 heat and a plus curveball at times in an uneven spring, followed by a full season debut where he mostly sat 88-91 with a great changeup. In 2018, Wentz had shoulder and oblique issues and his stuff played closer to average; in 2019 he was a bit healthier and better. He still has a near ideal frame and athleticism to go with a bag of 50- and 55-grade pitches and other qualities that give him a good shot to be a No. 4/5 starter.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""48.3""","""53.9""",,"""|""",0.0000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2350,2350,45,50,55,45,,,,55,50,60,50,,,,"""|""",,,,,,"""|""",,,,,,,,,"""BAL""",0.500,"""XXX"""
169,188,249,247,"""47.8""","""46.8""","""45.0""","""52.2""","""46.4""","""52.7""","""|""","""Triston""","""McKenzie""",2020,"""22.8""","""RHP""","""R""","""R""","""77""","""165""","""professional""",180,4,"""|""",1197,663474,"""mckenzie_triston""",,"""sa874760""","""|""",,,10,,"""Royal Palm Beach HS (FL)""",,,"""CLE""",1,,,,2020,45,"""SaiUEE5AOzQ""",,"""McKenzie's TrackMan data on The Board is from the 2018 season since he did not pitch in 2019 due to lat and pec strains. It was his second straight injury-riddled campaign, as he missed the spring of 2018 with upper back issues, and performed beneath career norms when he returned (33% K% from 2015-'17, 24% in '18), though in fairness to him, he was a 19-year-old pitching at Double-A for the first time. There was pre-draft consternation regarding McKenzie's frame, which, much like Kevin Durant's coming out of Texas, was so lean that it existed somewhere between ""projectable"" and ""concerningly thin,"" causing some scouts/teams to worry about durability.   In the five years since he was drafted, McKenzie has added five pounds of reported weight (he was listed at 160 on draft day, and is now 165); his fastball, at peak, was 90-93, touching 95 (88-92 in high school) and was 90-94 in camp this spring before the shutdown. The way his delivery and fastball work -- it's deceptive, creates flat angle at the top of the zone, and really carries -- makes me think it'll play at that velocity, and the same is true of McKenzie's curveball, which has good depth depite bad spin rates. He needs to find a third pitch, and hasn't really had a chance to do that for two years because of the injuries. At this point, I think it's more likely to be a slider/cutter than a changeup, which I think would be further along now if it were going to work.   If he can't find a third pitch, I'm not sure what the role is. McKenzie throws a ton of strikes, so you want him to start, but without a viable third offering that's pretty tough. High-leverage relief types typically have a better two-pitch mix than even a healthy McKenzie does, so a single-inning relief role doesn't seem like a great option, and the bulk relief role is often occupied by lower slot changeup guys, not overhand curveball types. I'm willing to bet on the atheticism here to fill in the blank.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.4""","""52.7""",,"""|""",0.2500,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,1900,50,55,35,55,35,,,60,55,40,55,50,,,"""|""",,,,,,"""|""",,,,,,,,,"""PIT""",0.500,"""XXX"""
170,183,129,542,"""47.8""","""46.9""","""47.0""","""49.5""","""34.5""","""50.9""","""|""","""Andy""","""Pages""",2020,"""19.5""","""CF""","""R""","""R""","""73""","""195""","""professional""",188,4,"""|""",3182,,,,"""sa3005625""","""|""",,,8,,"""Dominican Republic""","""R""",,"""LAD""",1,,,,2023,47,,,"""There was support for Pages' inclusion on my overall top 100 list, and he was to be part of the Joc Pederson/Ross Stripling deal with the Angels until, as Arte Moreno has stated publicly, the Angels owner nixed the deal. While his statline was definitely caricatured by the hitting environment in the Pioneer League, Pages does indeed have substantial power and based on his feel to hit the ball in the air, he's likely to get to it in games. Pages' average launch angle in 2019 was a whopping 25 degrees, which would be the highest among major league players (Rhys Hoskins' averaged an angle of 24 degrees last year) and was in the top five across all of pro baseball last year.   As you would probably expect for a hitter with such a steep swing, Pages strikes out quite a bit. His speed and defensive instincts give him a chance to stay in center field, though, which gives Pages a little more margin for error as a hitter. If he stays in center, he has a star-level ceiling. If not, then he has a whiff-prone, traditional right field profile. Even if the latter occurs, it's very likely Pages not only gets to all of his raw power but that he might outhit it because of how often he's able to lift the baseball. He's a launch angle unicorn with the power to take advantage of it and a non-zero chance of staying at a premium defensive spot (though I don't think it's likely).""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""34.5""","""50.9""",,,,,"""|""",,,,1.0,,0.0,"""|""",20,25,55,50,45,60,40,65,60,50,50,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
171,184,130,543,"""47.8""","""46.9""","""47.0""","""49.5""","""34.5""","""50.9""","""|""","""Wilderd""","""Patino""",2020,"""18.9""","""CF""","""R""","""R""","""73""","""175""","""professional""",188,4,"""|""",2720,679741,,,"""sa3007874""","""|""",,,9,,"""Venezuela""","""R""",,"""ARI""",1,,,,2023,47,"""nCGzDkHWP8Q""",,"""Patino had originally agreed to a deal with Texas, but it was voided due to an elbow injury and he eventually landed with Arizona. Toolsy, physical, and built like Trevor Story, Patino has an exciting combination of speed and power, as well as promising ball/strike recognition. What he lacks at this point is barrel control and a bat path that enables the power. Those are important components and may not be easy to fix, especially the bat control issue. But Patino's ball/strike and breaking ball recognition could help mitigate those issues, and his ceiling (a high OBP center fielder with power) is lofty if they're overcome.   Amateur scouts who picked up pro coverage the summer after the draft were in awe of Patino, who was the age of most of the players they had just spent a week discussing in the draft room but more physically gifted than all but a select few of them. A max-effort player with a fairly mature build, Patino may skip over short-season ball next year and head right to the Midwest League to be among athletes with more comparable physical ability, though that may mean he gets fewer reps in center because of Corbin Carroll's presence there.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""34.5""","""50.9""",,,,,"""|""",,,,1.0,,0.0,"""|""",20,30,45,60,45,60,45,50,55,60,55,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
