player_name,teams,end_year,start_year,years,ip,k_9,bb_9,k_bb,hr_9,FIP,park_FIP,FIP_minus,FIP_WAR,ERA,park_ERA,ERA_minus,ERA_WAR
Cole Kimball,NYN,2012,2012,1,18.0,9.00,6.00,1.50,1.00,4.766,4.847,119.30,-0.13,4.500,4.576,112.66,-0.07
Cole Sulser,KC,2019,2019,1,23.7,12.55,6.09,2.06,1.90,5.207,5.190,133.70,-0.32,6.850,6.828,175.88,-0.79
Colin Poche,Ari,2020,2015,3,99.3,13.50,3.90,3.50,0.54,2.291,2.260,58.29,2.37,1.631,1.610,41.50,3.24
Colin Rea,KC,2017,2017,1,124.7,6.06,3.03,2.00,0.94,4.305,4.291,111.04,0.50,4.620,4.605,119.15,0.03
Collin Balester,NYA,2012,2009,3,282.3,6.25,3.28,1.89,1.66,5.407,5.353,125.99,-1.30,5.864,5.806,137.36,-2.57
Collin McHugh,Was/Mil/Pit/LAN/Phi,2020,2015,6,923.4,8.54,3.12,2.80,1.01,3.812,3.841,101.24,7.53,4.338,4.369,114.97,1.46
Colt Hynes,LAN,2015,2015,1,56.3,7.67,1.60,4.80,0.64,2.966,3.006,79.44,0.73,2.080,2.108,55.70,1.41
Colten Brewer,KC/Min,2020,2015,3,100.7,7.06,5.90,1.29,0.72,4.637,4.622,119.25,-0.68,5.723,5.704,147.23,-1.98
Colter Bean,LA/LAN,2007,2005,3,147.0,9.61,5.45,1.76,1.04,4.477,4.537,100.66,0.31,4.592,4.654,103.62,0.10
Conner Greene,Tor,2019,2019,1,49.3,4.93,7.12,0.69,1.64,6.870,6.939,178.76,-1.21,7.660,7.737,199.31,-1.58
Corbin Burnes,Cin,2020,2015,3,174.6,9.07,4.23,2.15,0.82,3.785,3.772,97.35,1.30,5.049,5.033,129.83,-1.45
Corbin Martin,Min,2019,2019,1,80.3,6.50,3.92,1.66,2.58,6.807,6.784,174.76,-2.66,6.390,6.369,164.06,-2.26
Corey Kluber,Tam,2020,2014,7,1484.0,9.39,1.90,5.05,0.85,2.989,3.039,80.21,29.13,2.765,2.812,74.29,34.50
